#,full_name,count_publications
1,Jie Zhang,678
2,Jonah Hocum,2
3,Xin Wang,1124
4,Zhongtao Fu,4
5,Martin Fink 0001,34
6,Ghaffar Ghorbani,2
7,Brian Hoyt,3
8,Juan Monetti,2
9,Robert Schober,861
10,Dinggang Shen,757
11,Yu Liu,740
12,Li Wang,673
13,Mélanie Rey,7
14,Yoshua Bengio,675
15,Naruhiko Inayoshi,3
16,Leonard Barolli,954
17,Yuriy Ryshkovets,2
18,Pratibha Mitharwal,6
19,Jie Wu 0001,812
20,Krishnendu Chakrabarty,680
21,Raúl Cordeiro Correia,4
22,Yan Zhang,927
23,Azzedine Boukerche,805
24,Svetlana Peltsverger,26
25,Christopher Yuan,2
26,Xuemin Shen,719
27,Jun Li,655
28,Gerhard P. Fettweis,653
29,Massoud Pedram,655
30,Nawel Sabri,5
31,Antonio Vigueras Campuzano,2
32,Jian Wang,815
33,Jack J. Dongarra,743
34,Aram Zoveydavi,2
35,Ying Zhang,757
36,Thomas S. Huang,1027
37,Hao Wang,734
38,Tim Butler,3
39,Chi-Jui Ho,4
40,Hui Li,918
41,Ming Li,677
42,Yang Li,835
43,Sadaf Siraj,3
44,Kuixian Wu,2
45,Yong Zhang,678
46,Shuicheng Yan,716
47,Travis Norsen,4
48,Li Li,809
49,Frederico S. Kremer,2
50,David C. Davis,2
51,A. B. Monteiro,2
52,Peng Li,723
53,Rui Zhang,682
54,Nassir Navab,899
55,Kang G. Shin,747
56,Michel Loots,3
57,Jiawei Han 0001,953
58,Shujia Fan,2
59,Shunichi Numazaki,5
60,Michele Zorzi,683
61,Dacheng Tao,922
62,Anil K. Jain 0001,683
63,Jing Liu,701
64,Yi Wang,653
65,Catherine Liu,3
66,A. E. Rodecap,2
67,Mehdi Ahmadi,9
68,Hai Jin 0001,1045
69,Hans-Peter Seidel,737
70,Yuki Nonaka,4
71,Jason Lindquist,6
72,A. Blasco,2
73,Wei Zhang,1288
74,A. Siva Sangari,1
75,Hongxin Hu,124
76,Lajos Hanzo,1050
77,Yong Liu,692
78,Masaki Kan,13
79,Xin Li,852
80,Ryan C. Boyer,2
81,Claudia Altamura,1
82,Taiwo A. Oriola,1
83,Keenal M. Shah,3
84,Wei Wang,1295
85,Sergei Ivanov 0004,2
86,Chun-Ya Yang,3
87,Jimmy Jonsson,2
88,P. Ao,5
89,Mario Gerla,745
90,A. Petrolino,2
91,Mohamed-Slim Alouini,1146
92,Yi Zhang,818
93,Ying Li,768
94,Gal Motika,2
95,Kyeongjin Byeon,2
96,Luc Van Gool,892
97,Hui Zhang,678
98,Jun Wang,1062
99,Tianwei Wei,3
100,Hong-Yong Zhao,2
101,C.-C. Jay Kuo,759
102,Constantin Vica,2
103,Yan Wang,775
104,Henrique Madeira,58
105,André L. Maitelli,4
106,Luis Medina,2
107,H. Vincent Poor,1670
108,Zhu Han,979
109,Rama Chellappa,756
110,Wei Liu,849
111,Mérouane Debbah,722
112,Xiang Li,828
113,Josef Kittler,653
114,Jing Wang,1007
115,Ying Wang,756
116,Zhengkai Yang,2
117,Luca Benini,975
118,Gunilla Kreiss,3
119,Robert Wucher,2
120,Yang Yang,850
121,Hermann Ney,705
122,Bin Wang,673
123,Yoshinobu Kamada,2
124,Masato Nakayashiki,3
125,D. Duong-Gia,2
126,Tim Guenther,2
127,Magnus Mattsson,2
128,Philip S. Yu,1328
129,Özgür Çobanoglu,2
130,Jun Zhang,836
131,Brian S. Yandell,2
132,Toshio Fukuda,797
133,Ajith Abraham,793
134,Sevugan Prabu,1
135,Jing Li,1053
136,Bin Li,660
137,T. Serdar,2
138,Xinwu Deng,2
139,Yong Wang,895
140,Jian Zhang,774
141,Yang Liu,1042
142,Mohammad T. Haweel,3
143,Chin-Chen Chang 0001,883
144,David Pejoski,1
145,Piotr Nikonczuk,1
146,Xin Liu,711
147,G. N. Roberts,3
148,Peter Bernad,2
149,Gunnel Wärn-Hede,2
150,ImYeong Lee,2
151,Leonid Libkin,102
152,D. Mutavdzic,2
153,Tao Wang,706
154,Alberto José Ramírez Valadez,2
155,Jian Li,780
156,Heiko Wöhr,2
157,Witold Pedrycz,1014
158,Yan Li,853
159,Kaushik Roy 0001,724
160,Maurice A. W. Houtsma,21
161,Wen Gao 0001,1204
162,Bonnie Stewart,4
163,Liming Zuo,4
164,Cyril Pierson,2
165,Hyung-Dae Koh,2
166,Charles J. Yoos II,5
167,Chao Wang,702
168,Hui Wang,684
169,George R. Branner,2
170,O. O. Adedoyin,2
171,Peng Wang,700
172,Didem Yildiz,1
173,Li Zhang,985
174,Baisravan Homchaudhuri,8
175,Jing Zhang,905
176,Mahmut T. Kandemir,674
177,Qi Wang,654
178,A. E. Sabroff,2
179,Ilyssa Sanders,3
180,Lei Wang,1075
181,An Tzu Yang,2
182,Wei Chen,891
183,Licheng Jiao,859
184,Xi Chen,718
185,Hiren M. Mandalia,5
186,Hao Yang 0003,3
187,Yu Zhang,1128
188,Tao Zhang,670
189,Nina Zholtkevych,2
190,Pei Jiang 0001,2
191,Lei Zhang,1090
192,Chih-Cheng Hsieh,9
193,Mustafa Kemal Tas,5
194,Elisa Bertino,968
195,A. Brancaccio,3
196,Hamdan Daniyal,2
197,Aron Rubin,2
198,Wei Li,1217
199,Christoph Meinel,722
200,Muzzaffar Ahmad Shah,2
