#,full_name,key,title,booktitle,journal,pages,year
1,Krzysztof Diks,homepages/d/KDiks,Home Page,,,,
2,Bogdan S. Chlebus,conf/ftcs/ChlebusDP91,Optimal Broadcasting in Faulty Hypercubes.,FTCS,,"[266,273]",1991
3,Krzysztof Diks,conf/ftcs/ChlebusDP91,Optimal Broadcasting in Faulty Hypercubes.,FTCS,,"[266,273]",1991
4,Andrzej Pelc,conf/ftcs/ChlebusDP91,Optimal Broadcasting in Faulty Hypercubes.,FTCS,,"[266,273]",1991
5,Krzysztof Diks,conf/sofsem/DiksS10,Perfect Matching for Biconnected Cubic Graphs in <i>O</i>(<i>n</i> log<sup>2</sup><i>n</i>) Time.,SOFSEM,,"[321,333]",2010
6,Piotr Stanczyk,conf/sofsem/DiksS10,Perfect Matching for Biconnected Cubic Graphs in <i>O</i>(<i>n</i> log<sup>2</sup><i>n</i>) Time.,SOFSEM,,"[321,333]",2010
7,Krzysztof Diks,conf/paa/Diks87,Parallel Recognition of Outerplanar Graphs.,Parallel Algorithms and Architectures,,"[105,113]",1987
8,Krzysztof Diks,conf/issep/DiksM08,From Top Coders to Top IT Professionals.,ISSEP,,"[31,40]",2008
9,Jan Madey,conf/issep/DiksM08,From Top Coders to Top IT Professionals.,ISSEP,,"[31,40]",2008
10,Bogdan S. Chlebus,conf/mfcs/ChlebusDHR88,Efficient Simulations Between Concurrent-Read Concurrent-Write PRAM Models.,MFCS,,"[231,239]",1988
11,Krzysztof Diks,conf/mfcs/ChlebusDHR88,Efficient Simulations Between Concurrent-Read Concurrent-Write PRAM Models.,MFCS,,"[231,239]",1988
12,Torben Hagerup,conf/mfcs/ChlebusDHR88,Efficient Simulations Between Concurrent-Read Concurrent-Write PRAM Models.,MFCS,,"[231,239]",1988
13,Tomasz Radzik,conf/mfcs/ChlebusDHR88,Efficient Simulations Between Concurrent-Read Concurrent-Write PRAM Models.,MFCS,,"[231,239]",1988
14,Krzysztof Diks,conf/mfcs/DiksHR89,Optimal Parallel Algorithms For The Recognition And Colouring Outerplanar Graphs (Extended Abstract).,MFCS,,"[207,217]",1989
15,Torben Hagerup,conf/mfcs/DiksHR89,Optimal Parallel Algorithms For The Recognition And Colouring Outerplanar Graphs (Extended Abstract).,MFCS,,"[207,217]",1989
16,Wojciech Rytter,conf/mfcs/DiksHR89,Optimal Parallel Algorithms For The Recognition And Colouring Outerplanar Graphs (Extended Abstract).,MFCS,,"[207,217]",1989
17,Piotr Denejko,conf/mfcs/DenejkoDPP94,Reliable Minimum Finding Comparator Networks.,MFCS,,"[306,315]",1994
18,Krzysztof Diks,conf/mfcs/DenejkoDPP94,Reliable Minimum Finding Comparator Networks.,MFCS,,"[306,315]",1994
19,Andrzej Pelc,conf/mfcs/DenejkoDPP94,Reliable Minimum Finding Comparator Networks.,MFCS,,"[306,315]",1994
20,Marek Piotrów,conf/mfcs/DenejkoDPP94,Reliable Minimum Finding Comparator Networks.,MFCS,,"[306,315]",1994
21,Krzysztof Diks,conf/mfcs/DiksDSV88,Edge Separators for Planar Graphs and Their Applications.,MFCS,,"[280,290]",1988
22,Hristo Djidjev,conf/mfcs/DiksDSV88,Edge Separators for Planar Graphs and Their Applications.,MFCS,,"[280,290]",1988
23,Ondrej Sýkora,conf/mfcs/DiksDSV88,Edge Separators for Planar Graphs and Their Applications.,MFCS,,"[280,290]",1988
24,Imrich Vrto,conf/mfcs/DiksDSV88,Edge Separators for Planar Graphs and Their Applications.,MFCS,,"[280,290]",1988
25,Krzysztof Diks,conf/mfcs/Diks86,A Fast Parallel Algorithm for Six-Colouring of Planar Graphs (Extended Abstract).,MFCS,,"[273,282]",1986
26,Bogdan S. Chlebus,conf/mfcs/ChlebusDR88,Testing Isomorphism of Outerplanar Graphs in Parallel.,MFCS,,"[220,230]",1988
27,Krzysztof Diks,conf/mfcs/ChlebusDR88,Testing Isomorphism of Outerplanar Graphs in Parallel.,MFCS,,"[220,230]",1988
28,Tomasz Radzik,conf/mfcs/ChlebusDR88,Testing Isomorphism of Outerplanar Graphs in Parallel.,MFCS,,"[220,230]",1988
29,Bogdan S. Chlebus,conf/mfcs/ChlebusDRS89,Parallel Complexity of Lexicographically First Order Problems for Tree-Structured Graphs (Extended Abstract).,MFCS,,"[185,195]",1989
30,Krzysztof Diks,conf/mfcs/ChlebusDRS89,Parallel Complexity of Lexicographically First Order Problems for Tree-Structured Graphs (Extended Abstract).,MFCS,,"[185,195]",1989
31,Wojciech Rytter,conf/mfcs/ChlebusDRS89,Parallel Complexity of Lexicographically First Order Problems for Tree-Structured Graphs (Extended Abstract).,MFCS,,"[185,195]",1989
32,Tomasz Szymacha,conf/mfcs/ChlebusDRS89,Parallel Complexity of Lexicographically First Order Problems for Tree-Structured Graphs (Extended Abstract).,MFCS,,"[185,195]",1989
33,Krzysztof Diks,conf/cfcp/DiksP94,Fault-Tolerant Linear Broadcasting.,Canada-France Conference on Parallel and Distributed Computing,,"[207,217]",1994
34,Andrzej Pelc,conf/cfcp/DiksP94,Fault-Tolerant Linear Broadcasting.,Canada-France Conference on Parallel and Distributed Computing,,"[207,217]",1994
35,Krzysztof Diks,conf/oa/DiksR89,Optimal Parallel Computations for Halin Graphs.,Optimal Algorithms,,"[266,273]",1989
36,Wojciech Rytter,conf/oa/DiksR89,Optimal Parallel Computations for Halin Graphs.,Optimal Algorithms,,"[266,273]",1989
37,Jurek Czyzowicz,conf/sirocco/CzyzowiczDMR18,Broadcast with Energy-Exchanging Mobile Agents Distributed on a Tree.,SIROCCO,,"[209,225]",2018
38,Krzysztof Diks,conf/sirocco/CzyzowiczDMR18,Broadcast with Energy-Exchanging Mobile Agents Distributed on a Tree.,SIROCCO,,"[209,225]",2018
39,Jean Moussi,conf/sirocco/CzyzowiczDMR18,Broadcast with Energy-Exchanging Mobile Agents Distributed on a Tree.,SIROCCO,,"[209,225]",2018
40,Wojciech Rytter,conf/sirocco/CzyzowiczDMR18,Broadcast with Energy-Exchanging Mobile Agents Distributed on a Tree.,SIROCCO,,"[209,225]",2018
